u,g,r,i,z,class,redshift,redshift_err
18.63802,17.31392,16.61053,16.23437,15.9575,GALAXY,0.06961987,1.530017E-05
18.53592,17.34508,16.73377,16.36091,16.13913,GALAXY,0.1060308,1.109877E-05
18.62635,16.82193,15.97119,15.57207,15.23805,GALAXY,0.06995656,1.868745E-05
19.36547,17.48628,16.41735,15.99219,15.60992,GALAXY,0.143321,1.918422E-05
19.18791,17.40543,16.63572,16.29395,15.99135,GALAXY,0.1051231,1.716161E-05
19.0875,17.45376,16.71953,16.3354,16.04523,GALAXY,0.07898407,1.573925E-05
19.59072,18.37631,17.34891,16.84531,16.51693,GALAXY,0.1967419,3.304842E-05
16.05487,14.77693,14.1849,13.87484,13.63232,GALAXY,0.02957562,1.202938E-05
18.41252,18.27509,18.08103,17.98959,17.98275,QSO,1.388866,0.0003004387
19.18204,17.82977,16.94368,16.51452,16.21551,GALAXY,0.162987,2.510946E-05
17.97624,16.91911,16.49592,16.23548,16.07204,GALAXY,0.02556891,8.077038E-06
19.25729,19.12808,18.83389,18.70399,18.61511,QSO,1.222245,0.000970788
18.89456,17.28899,16.59483,16.2783,16.00699,GALAXY,0.04756837,1.583854E-05
19.43543,18.21516,17.63759,17.2469,17.04163,GALAXY,0.07902597,7.984891E-06
17.60775,16.14782,15.41296,15.01297,14.64746,GALAXY,0.0328287,6.626049E-06
18.80461,18.20425,18.02746,17.87077,17.79389,GALAXY,0.03239046,4.555037E-06
18.14614,17.09301,16.68175,16.44398,16.20429,GALAXY,0.02490769,6.205506E-06
19.4553,18.27777,17.81222,17.46869,17.25567,GALAXY,0.07909509,8.426449E-06
18.56489,17.28337,16.65403,16.27755,15.98773,GALAXY,0.06999499,9.011278E-06
18.93137,17.93331,17.5933,17.39079,17.28925,GALAXY,0.03248152,8.772594E-06
18.14285,16.60561,15.75299,15.31842,14.97883,GALAXY,0.1052832,1.264152E-05
16.39691,15.0645,14.46049,14.1484,13.96112,GALAXY,0.02454863,1.47984E-05
19.30768,17.50772,16.5638,16.12247,15.74522,GALAXY,0.1130107,3.028089E-05
19.12161,17.2298,16.21559,15.79271,15.4229,GALAXY,0.1113649,2.120844E-05
18.89224,17.72111,17.0411,16.69531,16.48406,GALAXY,0.1052569,4.715471E-05
19.05525,17.07544,16.13153,15.69524,15.34372,GALAXY,0.07972385,1.554603E-05
19.42911,19.05789,19.01153,18.94273,18.81345,QSO,2.211993,0.0002373178
17.68507,15.8723,15.03879,14.64731,14.33595,GALAXY,0.05311634,1.109621E-05
19.47569,19.01814,18.95258,19.06635,18.83752,QSO,0.7692741,9.830127E-05
19.49749,18.01691,17.45764,17.10353,16.94522,GALAXY,0.07665356,1.045386E-05
18.5238,17.52849,17.17023,16.74323,16.71346,GALAXY,0.09566075,6.552972E-06
19.14905,18.07992,17.70406,17.45813,17.35761,GALAXY,0.05204193,9.019261E-06
18.9978,17.96598,17.66925,17.40718,17.33742,GALAXY,0.07101605,5.532653E-06
19.28804,18.16719,17.85579,17.60978,17.40311,GALAXY,0.05446,7.345141E-06
18.1783,16.19937,15.22702,14.78768,14.41241,GALAXY,0.08298903,1.807268E-05
19.23587,17.91891,17.27048,16.90339,16.62113,GALAXY,0.09675542,1.262627E-05
18.36716,16.15226,15.06507,14.51372,14.05285,GALAXY,0.02725771,1.432335E-05
19.53237,17.64661,16.59679,16.07399,15.67989,GALAXY,0.05667758,1.796223E-05
17.92471,16.89563,16.34107,16.06352,15.82847,GALAXY,0.0244775,4.412939E-06
19.35062,17.90006,17.33493,16.98621,16.73307,GALAXY,0.08144762,1.30956E-05
18.87871,17.66926,17.05803,16.73153,16.41729,GALAXY,0.0277606,4.911111E-06
19.51914,18.35248,17.83754,17.54294,17.34665,GALAXY,0.05574461,1.42204E-05
19.36918,18.02738,17.53441,17.23723,17.04132,GALAXY,0.05533386,5.40396E-06
17.91883,16.78357,16.36801,16.02861,15.8854,GALAXY,0.05555231,6.571008E-06
18.46837,17.05451,16.43692,16.05719,15.81721,GALAXY,0.05591223,8.902135E-06
18.42238,18.22688,18.16234,18.02632,17.98409,QSO,1.92721,0.0003920758
19.49664,18.28441,17.72901,17.33362,17.14402,GALAXY,0.05762954,7.756537E-06
18.75865,17.75045,17.3277,17.0813,16.96067,GALAXY,0.02796681,3.621608E-06
17.87721,16.59167,15.95641,15.56669,15.33162,GALAXY,0.05804155,9.265631E-06
18.25661,17.47846,17.03543,16.51574,16.53835,GALAXY,0.1067022,4.322444E-06
18.02971,16.8872,16.42735,16.15031,15.96064,GALAXY,0.0286315,6.309466E-06
18.91756,17.30178,16.46264,15.98732,15.63404,GALAXY,0.02809832,1.384271E-05
19.38903,18.33714,17.6864,17.27947,17.02616,GALAXY,0.1327327,6.144829E-06
19.39457,18.11488,17.46252,17.07111,16.83985,GALAXY,0.05537476,6.243855E-06
18.86985,17.91304,17.55133,17.18573,17.09064,GALAXY,0.05902028,5.924683E-06
18.83757,17.12259,16.36792,15.90656,15.59752,GALAXY,0.05877787,7.546178E-06
18.85786,16.96216,16.00313,15.49234,15.12086,GALAXY,0.05765377,1.710475E-05
19.56508,18.07842,17.59711,17.30647,17.1456,GALAXY,0.05813755,8.304068E-06
18.20337,16.35203,15.42559,14.97615,14.64996,GALAXY,0.05805147,1.12493E-05
16.85358,15.63081,15.09907,14.80041,14.57816,GALAXY,0.03223962,9.880965E-06
19.52551,18.07914,17.3061,16.86974,16.54156,GALAXY,0.1330015,1.698382E-05
18.91944,17.80179,17.39375,17.17265,17.08438,GALAXY,0.02452652,5.443688E-06
19.28122,17.97229,17.63551,17.44405,17.41145,GALAXY,0.02442459,9.539374E-06
19.22342,19.01674,18.70262,18.65875,18.62971,QSO,1.227615,0.0003268497
17.97382,16.7313,16.19508,15.91699,15.71101,GALAXY,0.04765368,8.135084E-06
19.46411,19.24191,19.19376,19.01704,19.03733,QSO,1.65905,0.0004460479
19.31854,18.03506,17.42109,17.00215,16.74664,GALAXY,0.09111653,5.612905E-06
19.24194,17.4374,16.49413,15.95312,15.56135,GALAXY,0.07435275,2.427244E-05
19.11371,17.37997,16.71033,16.23288,16.00918,GALAXY,0.1143793,9.681698E-06
19.4189,19.26654,18.84102,18.86815,18.98317,QSO,1.131862,0.0005482915
17.64879,16.49474,15.87173,15.4981,15.2808,GALAXY,0.08193589,8.544223E-06
19.07644,17.19797,16.30089,15.8828,15.56139,GALAXY,0.07057208,1.29187E-05
19.34089,17.41159,16.39621,15.92878,15.54577,GALAXY,0.0996795,2.170211E-05
19.26156,18.13403,17.31124,16.86835,16.58677,GALAXY,0.1780877,1.593834E-05
18.71876,18.2819,18.26961,18.2414,18.19143,QSO,0.6705019,9.182478E-05
19.50271,18.76049,18.65779,18.51935,18.24256,QSO,2.351637,0.0003700142
18.35799,16.40675,15.52149,15.10122,14.76636,GALAXY,0.07594268,1.216104E-05
19.34145,17.35735,16.3837,15.94484,15.58079,GALAXY,0.07562031,1.649451E-05
18.67024,17.3274,16.66518,16.27936,16.0012,GALAXY,0.0795421,1.140596E-05
18.48495,17.38919,17.0689,16.88264,16.72604,GALAXY,0.02136928,5.758712E-06
18.79201,17.71587,17.31064,17.09239,16.98464,GALAXY,0.03146952,7.054336E-06
19.24695,18.14896,17.49914,17.11604,16.88354,GALAXY,0.157098,8.687185E-06
19.39275,17921,17.06458,16.63083,16.33663,GALAXY,0.1586266,2.349272E-05
18.06068,17.04281,16.69544,16.39104,16.25756,GALAXY,0.07009142,6.375157E-06
19.24533,18.13623,17.77322,17.5135,17.37947,GALAXY,0.07794146,1.169683E-05
16.20415,14.48584,13.77155,13.41108,13.17842,GALAXY,0.01902536,1.287611E-05
17.78422,16.50031,15.87221,15.49801,15.28736,GALAXY,0.06989451,1.213397E-05
19.42303,17.9242,17.15133,16.72932,16.40958,GALAXY,0.1201394,1.949053E-05
18.24933,17.00582,16.33551,15.91403,15.63367,GALAXY,0.08496574,1.700499E-05
19.53371,18.75589,18.2605,17.93995,17.8565,GALAXY,0.1572003,5.526448E-06
19.35455,17.83797,17.03366,16.61604,16.34077,GALAXY,0.1188491,1.847485E-05
19.33946,17.54367,16.46906,16.02215,15.67555,GALAXY,0.1326728,2.674283E-05
19.27254,18.06012,17.47485,17.14241,16.91897,GALAXY,0.1086603,8.764994E-06
18.18849,17.00276,16.55171,16.30584,16.21456,GALAXY,0.04931947,1.399824E-05
18.91379,17.85946,17.43954,17.11021,16.91123,GALAXY,0.06181338,5.457508E-06
19.03165,17.2688,16.4058,16.00439,15.67268,GALAXY,0.06637767,1.628184E-05
19.1993,18.27246,17.78881,17.51302,17.33675,GALAXY,0.1460524,6.632678E-06
17.60976,17.43707,17.28362,17.31243,17.27664,QSO,0.9198498,0.0001818907
19.15625,18.08972,17.7972,17.57063,17.48377,GALAXY,0.0486598,6.926732E-06
17.84915,16.64703,16.10961,15.80125,15.58915,GALAXY,0.04202126,9.969947E-06
18.36531,17.11435,16.50102,16.1332,15.88523,GALAXY,0.07237981,8.463887E-06
19.21375,17.61476,16.78795,16.30011,15.92994,GALAXY,0.07218131,1.223678E-05
19.2942,19.46759,18.99985,19.03216,19.14045,QSO,1.290582,0.0002752695
19.36372,18.32858,17.76066,17.3986,17.20642,GALAXY,0.1503709,7.148048E-06
19.14128,17.77446,16.97824,16.54589,16.24173,GALAXY,0.1144965,8.273139E-06
18.7363,17.24314,16.53551,16.12133,15.79994,GALAXY,0.0803081,7.678161E-06
18.16946,16.7555,16.07469,15.70018,15.44349,GALAXY,0.07249907,1.96714E-05
18.79004,17.03438,16.41441,16.09188,15.91404,GALAXY,0.1146823,2.438967E-05
18.48582,17.47009,17.15168,16.96801,16.89747,GALAXY,0.03258956,8.116315E-06
19.10975,18.05081,17.66049,17.47176,17.25882,GALAXY,0.04270654,1.958661E-05
18.93713,17.91322,17.55963,17.36401,17.20185,GALAXY,0.0320312,6.009033E-06
18.60415,16.66522,15.73765,15.3303,14.97645,GALAXY,0.08042388,1.625125E-05
19.40952,18.0377,17.2326,16.82528,16.52934,GALAXY,0.1598769,1.97828E-05
19.49952,17.9922,17.20122,16.77302,16.4563,GALAXY,0.1148159,2.44194E-05
